source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,source_name_eng,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
AAD40,0,None,ncsp,Koljumurru revisioon,Revision of fracture of skull,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAD99,0,None,ncsp,Muu operatsioon traumaatilise peavigastuse korral,Other operation for head injury,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAE00,0,None,ncsp,Transsfenoidaalne eksploratsioon,Transsphenoidal exploration,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAE10,0,None,ncsp,Transsfenoidaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon,Transsphenoidal total or partial excision of intracranial lesion,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAE20,0,None,ncsp,Transoraalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon,Transoral total or partial excision of intracranial lesion,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAE25,0,None,ncsp,Transtservikaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon,Transcervical total or partial excision of intracranial lesion,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAE30,0,None,ncsp,Translabürintne intrakraniaalse kahjustuse täielik või osaline ekstsisioon,Translabyrinthine total or partial excision of intracranial lesion,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAE40,0,None,ncsp,Transtemporaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon,Transtemporal total or partial excision of intracranial lesion,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAE50,0,None,ncsp,Intrakraniaalse kahjustuse täielik või osaline ekstsisioon sarna-oimuluu kaudu,Zygomaticotemporal total or partial excision of intracranial lesion,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAE99,0,None,ncsp,Muu operatsioon koljupõhimiku kaudu,Other operation by cranial base approach,Operative procedure on head,89901005,4233946,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAF00,0,None,ncsp,Ventrikulostoom,Ventriculostomy,Ventriculostomy,63933000,4271587,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAF05,0,None,ncsp,Ventrikuloperitoneaalne šunteerimine,Ventriculoperitoneal shunt,Ventriculoperitoneal shunt,47020004,4188466,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAF10,0,None,ncsp,Lumboperitoneaalne šunteerimine,Lumboperitoneal shunt,Lumboperitoneal shunt,714720000,37018268,SNOMED,Device,Physical Object,2024-06-04,2099-12-31
AAF15,0,None,ncsp,Ventrikuloatriaalne šunteerimine,Ventriculoatrial shunt,Ventriculoatrial shunt,258595001,4119535,SNOMED,Device,Physical Object,2024-06-04,2099-12-31
AAF20,0,None,ncsp,Ajuvatsakeste šundi revisioon,Revision of shunt of ventricle of brain,Revision of cerebral ventricular shunt,72912002,4218755,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAF25,0,None,ncsp,Ajuvatsakeste šundi eemaldamine,Removal of shunt of ventricle of brain,Removal of shunt tubing from ventricle of brain,230879004,4048938,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAF30,0,None,ncsp,Intraventrikulaarse süstesüsteemi implantatsioon,Implantation of intraventricular injection device,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAF35,0,None,ncsp,Reservuaari implantatsioon intraventrikulaarse teraapia jaoks,Implantation of reservoir for intraventricular therapy,Implantation of Ommaya reservoir,4213001,4171393,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAF40,0,None,ncsp,Intrakraniaalse tsüsti šunteerimine peritoneumi,Shunt of intracranial cyst to peritoneum,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAF45,0,None,ncsp,Intrakraniaalse tsüsti fenestratsioon,Fenestration of intracranial cyst,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAF50,0,None,ncsp,Endoskoopiline kolmanda ajuvatsakese ventrikulostoomia,Endoscopic Third Ventriculostomy (ETV),,No matching concept,0,None,,,2024-06-04,2099-12-31
AAF99,0,None,ncsp,Muu šunteeriv operatsioon ajuvatsakestel või intrakraniaalsel tsüstil,Other shunt operation on ventricle of brain or intracranial cyst,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAG00,0,None,ncsp,Stereotaktiline intrakraniaalne biopsia,Stereotactic intracranial biopsy,Stereotactic biopsy of brain,171491002,4062876,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAG10,0,None,ncsp,Stereotaktiline tuumori või närvitrakti intrakraniaalne destruktsioon,Stereotactic intracranial destruction of nucleus or nerve tract,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAG20,0,None,ncsp,Stereotaktiline elektroodide intrakraniaalne implanteerimine,Stereotactic intracranial implantation of electrodes,Implantation of electrode into brain using stereotactic guidance,446815007,40489804,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAG30,0,None,ncsp,Stereotaktiline radioaktiivse aine intrakraniaalne implanteerimine,Stereotactic intracranial implantation of radioactive agent,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAG40,0,None,ncsp,Stereotaktiline lootekoe intrakraniaalne implanteerimine,Stereotactic intracranial implantation of fetal tissue,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAG50,0,None,ncsp,Stereotaktiline intrakraniaalne radioteraapia,Stereotactic intracranial radiotherapy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAG99,0,None,ncsp,Muu stereotaktiline intrakraniaalne operatsioon,Other stereotactic intracranial operation,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAH10,0,None,ncsp,Kraniaalnärvi risotoomia,Rhizotomy of cranial nerve,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAH20,0,None,ncsp,Kraniaalnärvi dekompressioon,Decompression of cranial nerve,Decompression of cranial nerve,85947008,4311112,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAH30,0,None,ncsp,Kraniaalnärvi termiline destruktsioon,Thermal destruction of cranial nerve,Destruction of cranial nerve,7419009,4251037,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAH40,0,None,ncsp,Süstimine kraniaalnärvi,Injection into cranial nerve,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAH50,0,None,ncsp,Kraniaalnärvi anastomoos,Cranial nerve anastomosis,Cranial neuroanastomosis,75262005,4328495,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAH60,0,None,ncsp,Kraniaalnärvi mikrovaskulaarne dekompressioon,Microvascular decompression of cranial nerve,Microvascular decompression surgery of cranial nerve,103726002,4013567,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAH99,0,None,ncsp,Muu operatsioon kraniaalnärvil,Other operation on cranial nerve,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAJ00,0,None,ncsp,Hemisferektoomia,Hemispherectomy,Cerebral hemispherectomy,14247003,4031033,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAJ10,0,None,ncsp,Lobektoomia epilepsia korral,Lobectomy for epilepsy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAJ15,0,None,ncsp,Hipokampektoomia,Hippocampectomy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAJ20,0,None,ncsp,Epileptilise kolde ekstsisioon,Excision of epileptic focus,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAJ25,0,None,ncsp,Närvitraktide läbilõige epilepsia korral,Transcision of nerve tracts for epilepsy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAJ30,0,None,ncsp,Kallosotoomia epilepsia korral,Callosotomy for epilepsy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAJ35,0,None,ncsp,Hemidekortikatsioon epilepsia korral,Hemidecortication for epilepsy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAJ99,0,None,ncsp,Muu operatsioon epilepsia korral,Other operation for epilepsy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAK00,0,None,ncsp,Kranioplastika,Cranioplasty,Cranioplasty,32495000,4138816,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAK10,0,None,ncsp,Dura korrektsioon,Repair of dura,Cerebral duraplasty,66534009,4279633,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAK20,0,None,ncsp,Operatsioonid kraniosünostoosi korral,Operations for craniosynostosis,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAK30,0,None,ncsp,Näokolju rekonstruktsioon kaasasündinud väärarengute korral,Craniofacial reconstruction in congenital malformations,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAK40,0,None,ncsp,Liikvori fistuli sulgemine,Closure of cerebrospinal fluid fistula,Closure of fistula of cerebrospinal fluid,260397005,4127779,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAK70,0,None,ncsp,Koljubiopsia,Biopsy of skull,Biopsy of skull,215103005,4062784,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAK75,0,None,ncsp,Kolju kahjustuskolde ekstsisioon,Excision of lesion of skull,Excision of lesion of cranium,56569008,4208846,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAK80,0,None,ncsp,Pealae osaline ekstsisioon,Partial excision of skull cap,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAK85,0,None,ncsp,Eelnevalt eemaldatud pealae  osa replantatsioon,Replantation of previously excised part of skull cap,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAK99,0,None,ncsp,Muu operatsioon koljul või dural,Other operation on skull or dura,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAL00,0,None,ncsp,Intrakraniaalse aneurüsmi endovaskulaarne okluseerimine,Endovascular occlusion of intracranial aneurysm,Endovascular obliteration of intracranial aneurysm,230916003,4048948,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAL10,0,None,ncsp,Intrakraniaalne endovaskulaarne trombolüüs,Intracranial endovascular thrombolysis,Thrombolysis of intracranial vessel,230934004,4047016,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAL18,0,None,ncsp,Akuutse isheemilise insuldi intravenoosne trombolüüsravi,Fibrinolytic therapy for acute ischemic stroke,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAL20,0,None,ncsp,Intrakraniaalse arterio-venoosse malformatsiooni endovaskulaarne okluseerimine,Endovascular occlusion of intracranial arterio-venous malformation,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAL30,0,None,ncsp,Intrakraniaalse fistuli endovaskulaarne okluseerimine,Endovascular occlusion of intracranial fistula,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAL40,0,None,ncsp,Intrakraniaalsete tuumorit toitvate arterite endovaskulaarne okluseerimine,Endovascular occlusion of feeding arteries of intracranial tumour,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAL99,0,None,ncsp,Muu intrakraniaalne endovaskulaarne protseduur,Other intracranial endovascular procedure,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAM00,0,None,ncsp,Intrakraniaalse abstsessi punktsioon ja evakuatsioon,Puncture and evacuation of intracerebral abscess,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAM10,0,None,ncsp,Intrakraniaalse abstsessi ekstsisioon,Excision of intracerebral abscess,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAM30,0,None,ncsp,Epiduraalse või subduraalse empüeemi evakuatsioon,Evacuation of epidural or subdural empyema,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAM99,0,None,ncsp,Muu operatsioon intrakraniaalse infektsiooni korral,Other operation for intracranial infection,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAN00,0,None,ncsp,Meningo-entsefalotseele ekstsisioon ja korrektsioon,Excision and repair of encephalocele,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAN99,0,None,ncsp,Muu operatsioon kaasasündinud intrakraniaalse väärarengu korral,Other operation for intracranial congenital malformation,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAP00,0,None,ncsp,Lihase lokaalne transpositsioon näo halvatuse korral,Local transposition of muscle for facial palsy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAP10,0,None,ncsp,Kogu näo närvide transplantatsioon näo halvatuse korral,Cross-facial transplantation of nerve for facial palsy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAP20,0,None,ncsp,Mikrovaskulaarne transpositsioon näo halvatuse korral,Microvascular transposition of muscle for facial palsy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAP99,0,None,ncsp,Muu rekonstruktiivne operatsioon näo halvatuse korral,Other reconstructive operation for facial palsy,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAU00,0,None,ncsp,Implantaadi ja välise fiksatsiooniseadme eemaldamine koljust,Removal of implant or external fixation device from skull,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAW01,0,None,ncsp,Intrakraniaalse stimulaatori paigaldamine,Implantation of intracranial stimulation device,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAW02,0,None,ncsp,Intrakraniaalse süstesüsteemi paigaldamine,Implantation of intracranial injection device,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAW99,0,None,ncsp,Muu operatsioon koljul või intrakraniaalsel struktuuril,Other operation on skull or intracranial structure,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABA00,0,None,ncsp,Eksploratiivne laminektoomia,Exploratory laminectomy,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABA10,0,None,ncsp,Spinaalkanali kahjustuskolde biopsia,Biopsy of lesion of spinal canal,Biopsy of lesion of spine,178787002,4076286,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABA20,0,None,ncsp,Intratekaalne endoskoopia,Intrathecal endoscopy,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABA30,0,None,ncsp,Epiduroskoopia,Epiduroscopy,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABA99,0,None,ncsp,Muu diagnostiline operatsioon seljaajul või närvijuurtel,Other diagnostic operation on spinal cord or nerve root,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABB00,0,None,ncsp,Spinaalkanali kahjustuskolde ekstsisioon,Excision of lesion of spinal canal,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABB02,0,None,ncsp,Närvijuure kahjustuskolde ekstsisioon,Excision of lesion of nerve root,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABB04,0,None,ncsp,Närvijuure kahjustuskolde destruktsioon,Desctruction of lesion of nerve root,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABB06,0,None,ncsp,Närvijuure kahjustuskolde perkutaanne destruktsioon,Percutaneous destruction of lesion of nerve root,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABB10,0,None,ncsp,Spinaalkanali kahjustuskolde resektsioon,Resection of lesion of spinal canal,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABB20,0,None,ncsp,Spinaalkanali intra- või ekstramedullaarse tsüsti dreenimine,Drainage of intra- or extramedullary cyst of spinal canal,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABB30,0,None,ncsp,Spinaalkanali kahjustuskolde destruktsioon,Destruction of lesion of spinal canal,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABB40,0,None,ncsp,Spinaalkanali spontaanse kahjustuskolde hematoomi evakuatsioon,Evacuation of spontaneous haematoma of spinal canal,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABB99,0,None,ncsp,Muu operatsioon seljaaju kahjustuse korral,Other operation for lesion of spinal canal,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC01,0,None,ncsp,Perkutaanne endoskoopiline diskektoomia tservikaalse intervertebraalse diski väljasopistuse korral,Percutaneous endoscopic discectomy for cervical intervertebral disc displacement,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC04,0,None,ncsp,Perkutaanne endoskoopiline diskektoomia torakaalse intervertebraalse diski väljasopistuse korral,Percutaneous endoscopic discectomy for thoracic intervertebral disc displacement,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC07,0,None,ncsp,Perkutaanne endoskoopiline diskektoomia lumbaalosa intervertebraalse diski väljasopistuse korral,Percutaneous endoscopic discectomy for lumbar intervertebral disc displacement,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC10,0,None,ncsp,Mikrokirurgiline ekstsisioon tservikaalse intervertebraalse diski väljasopistuse korral,Microsurgical excision of cervical intervertebral disc displacement,Primary microdiscectomy of cervical intervertebral disc,178526006,4072263,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC13,0,None,ncsp,Mikrokirurgiline ekstsisioon torakaalse intervertebraalse diski väljasopistuse korral,Microsurgical excision of thoracic intervertebral disc displacement,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC16,0,None,ncsp,Mikrokirurgiline ekstsisioon lumbaalosa intervertebraalse diski väljasopistuse korral,Microsurgical excision of lumbar intervertebral disc displacement,Excision of lumbar intervertebral disc,239542002,4083391,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC17,0,None,ncsp,Ekstraforaminaalse diski prolapsi eemaldamine,Removal of extraforaminal disc prolapse,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC20,0,None,ncsp,Avatud diskektoomia lülisamba tservikaalosas,Open discectomy of cervical spine,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC21,0,None,ncsp,Lülisamba kaelaosa eesmine dekompressioon koos lülikehadevahelise implantaadi paigaldamisega,Anterior decompression of cervical spine with insertion of interbody fixating implant,Primary anterior decompression of cervical spinal cord,448207008,40488890,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC23,0,None,ncsp,Avatud diskektoomia lülisamba torakaalosas,Open discectomy of thoracic spine,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC26,0,None,ncsp,Avatud diskektoomia lülisamba lumbaalosas,Open discectomy of lumbar spine,Excision of lumbar intervertebral disc,239542002,4083391,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC28,0,None,ncsp,Ogajätkete vahelise suureneva implantaadi paigaldamine,Insertion of expanding implant between spinous processes,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC30,0,None,ncsp,Tservikaalosa närvijuurte dekompressioon,Decompression of cervical nerve roots,Decompression of cervical spine,302130002,4201720,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC33,0,None,ncsp,Torakaalosa närvijuurte dekompressioon,Decompression of thoracic nerve roots,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC36,0,None,ncsp,Lumbaalosa närvijuurte dekompressioon,Decompression of lumbar nerve roots,Decompression of lumbar spine,302129007,4201395,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC40,0,None,ncsp,Cauda equina dekompressioon,Decompression of cauda equina,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC50,0,None,ncsp,Tservikaalosa spinaalkanali ja närvijuurte dekompressioon,Decompression of cervical spinal canal and nerve roots,Decompression of cervical spine,302130002,4201720,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC50,0,None,ncsp,Tservikaalosa spinaalkanali ja närvijuurte dekompressioon,Decompression of cervical spinal canal and nerve roots,Decompression of spinal nerve root,231045009,4332423,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC53,0,None,ncsp,Torakaalosa spinaalkanali ja närvijuurte dekompressioon,Decompression of thoracic spinal canal and nerve roots,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABC56,0,None,ncsp,Lumbaalosa spinaalkanali ja närvijuurte dekompressioon,Decompression of lumbar spinal canal and nerve roots,Decompression of lumbar spine,302129007,4201395,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC56,0,None,ncsp,Lumbaalosa spinaalkanali ja närvijuurte dekompressioon,Decompression of lumbar spinal canal and nerve roots,Decompression of spinal nerve root,231045009,4332423,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC60,0,None,ncsp,Seljaaju tservikaalosa dekompressioon,Decompression of cervical spinal cord,Decompression of cervical spine,302130002,4201720,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC63,0,None,ncsp,Seljaaju torakaalosa dekompressioon,Decompression of thoracic spinal cord,Decompression of thoracic spine,302128004,4199570,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC66,0,None,ncsp,Seljaaju lumbaalosa dekompressioon,Decompression of lumbar spinal cord,Decompression of lumbar spine,302129007,4201395,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABC99,0,None,ncsp,Muu dekomprimeeriv operatsioon seljaajul ja närvijuurtel,Other decompressive operation on spinal cord or nerve root,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABD10,0,None,ncsp,Avatud kordotoomia,Open cordotomy,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABD15,0,None,ncsp,Perkutaanne kordotoomia,Percutaneous cordotomy,Spinal percutaneous cordotomy,62706003,4270336,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABD20,0,None,ncsp,Müelotoomia,Myelotomy,Spinal cordotomy,20516002,4071877,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABD30,0,None,ncsp,Spinaalse stimulaatori implantatsioon,Implantation of spinal stimulation device,Implantation of electronic stimulator of spine,84448004,4309374,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABD32,0,None,ncsp,Ajutise spinaalse stimulaatori implantatsioon,Implantation of temporary spinal stimulation device,Implantation of neurostimulator in spine,3270004,4139773,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABD32,0,None,ncsp,Ajutise spinaalse stimulaatori implantatsioon,Implantation of temporary spinal stimulation device,Temporary operation,180862005,4110974,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
ABD33,0,None,ncsp,Spinaalse- ja närvijuure stimulaatori revisioon,Revision of spinal and nerve root stimulation device,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABD40,0,None,ncsp,Spinaalse süstesüsteemi implantatsioon,Implantation of spinal injection device,,No matching concept,0,None,,,2024-06-04,2099-12-31
ABD50,0,None,ncsp,Spinaalse närvijuure transsektsioon valu või häiritud funktsiooni tõttu,Transection of spinal nerve root for pain or impaired function,,No matching concept,0,None,,,2024-06-04,2099-12-31
