source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
4+3,0,None,cancer,Gleasoni skoor,Gleason Grade Group 3,Gleason-Grade_Group-3,1634459,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
4+3,0,None,cancer,Gleasoni skoor,Gleason Score 4+3,Gleason-Score-4+3,1633596,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
4+4,0,None,cancer,Gleasoni skoor,Gleason Grade Group 4,Gleason-Grade_Group-4,1635079,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
4+5,0,None,cancer,Gleasoni skoor,Gleason Grade Group 5,Gleason-Grade_Group-5,1635009,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
5,0,None,cancer,Gleasoni skoor,Gleason Score <=6,Gleason-Score-<=6,1634230,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
5+3,0,None,cancer,Gleasoni skoor,Gleason Grade Group 4,Gleason-Grade_Group-4,1635079,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
5+4,0,None,cancer,Gleasoni skoor,Gleason Grade Group 5,Gleason-Grade_Group-5,1635009,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
5+5,0,None,cancer,Gleasoni skoor,Gleason Grade Group 5,Gleason-Grade_Group-5,1635009,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
6,0,None,cancer,Gleasoni skoor,Gleason Score <=6,Gleason-Score-<=6,1634230,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
7,0,None,cancer,Gleasoni skoor,Gleason Score 7,Gleason-Score-7,1633844,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
8,0,None,cancer,Gleasoni skoor,Gleason Score 8,Gleason-Score-8,1635475,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
9,0,None,cancer,Gleasoni skoor,Gleason Score 9,Gleason-Score-9,1633687,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
c0,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 0,c-AJCC/UICC-Stage-0,1634502,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
c0A,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 0a,c-AJCC/UICC-Stage-0A,1635434,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
c0IS,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 0is,c-AJCC/UICC-Stage-0IS,1633707,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cI,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1,c-AJCC/UICC-Stage-1,1635199,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIA,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1A,c-AJCC/UICC-Stage-1A,1634671,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIA1,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1A1,c-AJCC/UICC-Stage-1A1,1634927,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIA2,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1A2,c-AJCC/UICC-Stage-1A2,1633948,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIA3,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1A3,c-AJCC/UICC-Stage-1A3,1635216,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIB,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1B,c-AJCC/UICC-Stage-1B,1633618,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIB1,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1B1,c-AJCC/UICC-Stage-1B1,1635184,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIB2,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1B2,c-AJCC/UICC-Stage-1B2,1634794,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIC,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1C,c-AJCC/UICC-Stage-1C,1634813,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIE,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1E,c-AJCC/UICC-Stage-1E,1635482,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cII,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 2,c-AJCC/UICC-Stage-2,1633841,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIA,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 2A,c-AJCC/UICC-Stage-2A,1635486,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIA1,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 2A1,c-AJCC/UICC-Stage-2A1,1635115,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIA2,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 2A2,c-AJCC/UICC-Stage-2A2,1633489,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIB,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 2B,c-AJCC/UICC-Stage-2B,1634332,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIC,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 2C,c-AJCC/UICC-Stage-2C,1635056,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIE,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 2E,c-AJCC/UICC-Stage-2E,1634917,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIII,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 3,c-AJCC/UICC-Stage-3,1634876,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIIA,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 3A,c-AJCC/UICC-Stage-3A,1634922,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIIA1,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 3A1,c-AJCC/UICC-Stage-3A1,1634030,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIIA2,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 3A2,c-AJCC/UICC-Stage-3A2,1634232,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIIB,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 3B,c-AJCC/UICC-Stage-3B,1635764,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIIC,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 3C,c-AJCC/UICC-Stage-3C,1634571,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIIC1,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 3C1,c-AJCC/UICC-Stage-3C1,1633418,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIIC2,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 3C2,c-AJCC/UICC-Stage-3C2,1635253,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIIID,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 3D,c-AJCC/UICC-Stage-3D,1634297,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIS,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 1s,c-AJCC/UICC-Stage-1S,1635293,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIV,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 4,c-AJCC/UICC-Stage-4,1634447,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIVA,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 4A,c-AJCC/UICC-Stage-4A,1635450,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIVA1,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 4A1,c-AJCC/UICC-Stage-4A1,1634384,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIVA2,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 4A2,c-AJCC/UICC-Stage-4A2,1634350,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIVB,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 4B,c-AJCC/UICC-Stage-4B,1634525,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cIVC,0,None,cancer,Vähi staadium,AJCC/UICC clinical Stage 4C,c-AJCC/UICC-Stage-4C,1635404,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cM0,0,None,cancer,TNM-kood,AJCC/UICC clinical M0 Category,c-AJCC/UICC-M0,1635291,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cM0(I+),0,None,cancer,TNM-kood,AJCC/UICC clinical M0(i+) Category,c-AJCC/UICC-M0(i+),1635856,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cM1,0,None,cancer,TNM-kood,AJCC/UICC clinical M1 Category,c-AJCC/UICC-M1,1635085,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cM1A,0,None,cancer,TNM-kood,AJCC/UICC clinical M1a Category,c-AJCC/UICC-M1a,1633777,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cM1B,0,None,cancer,TNM-kood,AJCC/UICC clinical M1b Category,c-AJCC/UICC-M1b,1635090,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cM1C,0,None,cancer,TNM-kood,AJCC/UICC clinical M1c Category,c-AJCC/UICC-M1c,1635255,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cM1D,0,None,cancer,TNM-kood,AJCC/UICC clinical M1d Category,c-AJCC/UICC-M1d,1634048,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cMX,0,None,cancer,TNM-kood,AJCC/UICC clinical MX Category,c-AJCC/UICC-MX,1634755,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN0,0,None,cancer,TNM-kood,AJCC/UICC clinical N0 Category,c-AJCC/UICC-N0,1634145,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN0A,0,None,cancer,TNM-kood,AJCC/UICC clinical N0a Category,c-AJCC/UICC-N0a,1635732,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN0B,0,None,cancer,TNM-kood,AJCC/UICC clinical N0b Category,c-AJCC/UICC-N0b,1635495,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN0(I+),0,None,cancer,TNM-kood,AJCC/UICC clinical N0(i+) Category,c-AJCC/UICC-N0(i+),1633918,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN0(MOL+),0,None,cancer,TNM-kood,AJCC/UICC clinical N0(mol+) Category,c-AJCC/UICC-N0(mol+),1634915,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN1,0,None,cancer,TNM-kood,AJCC/UICC clinical N1 Category,c-AJCC/UICC-N1,1635729,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN1A,0,None,cancer,TNM-kood,AJCC/UICC clinical N1a Category,c-AJCC/UICC-N1a,1635164,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN1A(SN),0,None,cancer,TNM-kood,AJCC/UICC clinical N1a(sn) Category,c-AJCC/UICC-N1a(sn),1635628,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN1B,0,None,cancer,TNM-kood,AJCC/UICC clinical N1b Category,c-AJCC/UICC-N1b,1635599,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN1B1,0,None,cancer,TNM-kood,AJCC/UICC clinical N1b1 Category,c-AJCC/UICC-N1b1,1634298,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN1B2,0,None,cancer,TNM-kood,AJCC/UICC clinical N1b2 Category,c-AJCC/UICC-N1b2,1634075,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN1B3,0,None,cancer,TNM-kood,AJCC/UICC clinical N1b3 Category,c-AJCC/UICC-N1b3,1635534,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN1B4,0,None,cancer,TNM-kood,AJCC/UICC clinical N1b4 Category,c-AJCC/UICC-N1b4,1634923,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN1C,0,None,cancer,TNM-kood,AJCC/UICC clinical N1c Category,c-AJCC/UICC-N1c,1634934,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN1MI,0,None,cancer,TNM-kood,AJCC/UICC clinical N1mi Category,c-AJCC/UICC-N1mi,1635121,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN2,0,None,cancer,TNM-kood,AJCC/UICC clinical N2 Category,c-AJCC/UICC-N2,1634523,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN2A,0,None,cancer,TNM-kood,AJCC/UICC clinical N2a Category,c-AJCC/UICC-N2a,1633429,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN2B,0,None,cancer,TNM-kood,AJCC/UICC clinical N2b Category,c-AJCC/UICC-N2b,1634977,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN2C,0,None,cancer,TNM-kood,AJCC/UICC clinical N2c Category,c-AJCC/UICC-N2c,1634118,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN2MI,0,None,cancer,TNM-kood,AJCC/UICC clinical N2mi Category,c-AJCC/UICC-N2mi,1633836,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN3,0,None,cancer,TNM-kood,AJCC/UICC clinical N3 Category,c-AJCC/UICC-N3,1633914,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN3A,0,None,cancer,TNM-kood,AJCC/UICC clinical N3a Category,c-AJCC/UICC-N3a,1634649,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN3B,0,None,cancer,TNM-kood,AJCC/UICC clinical N3b Category,c-AJCC/UICC-N3b,1635610,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN3C,0,None,cancer,TNM-kood,AJCC/UICC clinical N3c Category,c-AJCC/UICC-N3c,1634650,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cN4,0,None,cancer,TNM-kood,AJCC/UICC clinical N4 Category,c-AJCC/UICC-N4,1633862,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cNX,0,None,cancer,TNM-kood,AJCC/UICC clinical NX Category,c-AJCC/UICC-NX,1634722,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT0,0,None,cancer,TNM-kood,AJCC/UICC clinical T0 Category,c-AJCC/UICC-T0,1635155,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1,0,None,cancer,TNM-kood,AJCC/UICC clinical T1 Category,c-AJCC/UICC-T1,1635661,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1A,0,None,cancer,TNM-kood,AJCC/UICC clinical T1a Category,c-AJCC/UICC-T1a,1633742,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1A1,0,None,cancer,TNM-kood,AJCC/UICC clinical T1a1 Category,c-AJCC/UICC-T1a1,1635676,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1A2,0,None,cancer,TNM-kood,AJCC/UICC clinical T1a2 Category,c-AJCC/UICC-T1a2,1635081,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1B,0,None,cancer,TNM-kood,AJCC/UICC clinical T1b Category,c-AJCC/UICC-T1b,1635039,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1B1,0,None,cancer,TNM-kood,AJCC/UICC clinical T1b1 Category,c-AJCC/UICC-T1b1,1635701,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1B2,0,None,cancer,TNM-kood,AJCC/UICC clinical T1b2 Category,c-AJCC/UICC-T1b2,1634659,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1B3,0,None,cancer,TNM-kood,AJCC/UICC clinical T1b3 Category,c-AJCC/UICC-T1b3,1635348,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1C,0,None,cancer,TNM-kood,AJCC/UICC clinical T1c Category,c-AJCC/UICC-T1c,1634320,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1C1,0,None,cancer,TNM-kood,AJCC/UICC clinical T1c1 Category,c-AJCC/UICC-T1c1,1634515,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1C2,0,None,cancer,TNM-kood,AJCC/UICC clinical T1c2 Category,c-AJCC/UICC-T1c2,1634184,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1C3,0,None,cancer,TNM-kood,AJCC/UICC clinical T1c3 Category,c-AJCC/UICC-T1c3,1633494,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1D,0,None,cancer,TNM-kood,AJCC/UICC clinical T1d Category,c-AJCC/UICC-T1d,1634931,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT1MI,0,None,cancer,TNM-kood,AJCC/UICC clinical T1mi Category,c-AJCC/UICC-T1mi,1635832,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT2,0,None,cancer,TNM-kood,AJCC/UICC clinical T2 Category,c-AJCC/UICC-T2,1635033,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT2A,0,None,cancer,TNM-kood,AJCC/UICC clinical T2a Category,c-AJCC/UICC-T2a,1634689,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT2A1,0,None,cancer,TNM-kood,AJCC/UICC clinical T2a1 Category,c-AJCC/UICC-T2a1,1635046,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT2A2,0,None,cancer,TNM-kood,AJCC/UICC clinical T2a2 Category,c-AJCC/UICC-T2a2,1635269,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT2B,0,None,cancer,TNM-kood,AJCC/UICC clinical T2b Category,c-AJCC/UICC-T2b,1633781,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT2C,0,None,cancer,TNM-kood,AJCC/UICC clinical T2c Category,c-AJCC/UICC-T2c,1634514,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT2D,0,None,cancer,TNM-kood,AJCC/UICC clinical T2d Category,c-AJCC/UICC-T2d,1633541,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT3,0,None,cancer,TNM-kood,AJCC/UICC clinical T3 Category,c-AJCC/UICC-T3,1635895,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT3A,0,None,cancer,TNM-kood,AJCC/UICC clinical T3a Category,c-AJCC/UICC-T3a,1633758,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT3B,0,None,cancer,TNM-kood,AJCC/UICC clinical T3b Category,c-AJCC/UICC-T3b,1633765,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT3C,0,None,cancer,TNM-kood,AJCC/UICC clinical T3c Category,c-AJCC/UICC-T3c,1634088,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT3D,0,None,cancer,TNM-kood,AJCC/UICC clinical T3d Category,c-AJCC/UICC-T3d,1635707,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT3E,0,None,cancer,TNM-kood,AJCC/UICC clinical T3e Category,c-AJCC/UICC-T3e,1633838,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT4,0,None,cancer,TNM-kood,AJCC/UICC clinical T4 Category,c-AJCC/UICC-T4,1635558,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT4A,0,None,cancer,TNM-kood,AJCC/UICC clinical T4a Category,c-AJCC/UICC-T4a,1634192,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT4B,0,None,cancer,TNM-kood,AJCC/UICC clinical T4b Category,c-AJCC/UICC-T4b,1634291,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT4C,0,None,cancer,TNM-kood,AJCC/UICC clinical T4c Category,c-AJCC/UICC-T4c,1634877,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT4D,0,None,cancer,TNM-kood,AJCC/UICC clinical T4d Category,c-AJCC/UICC-T4d,1635368,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cT4E,0,None,cancer,TNM-kood,AJCC/UICC clinical T4e Category,c-AJCC/UICC-T4e,1634561,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cTA,0,None,cancer,TNM-kood,AJCC/UICC clinical Ta Category,c-AJCC/UICC-Ta,1633281,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cTIS,0,None,cancer,TNM-kood,AJCC/UICC clinical Tis Category,c-AJCC/UICC-Tis,1634450,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cTIS(DCIS),0,None,cancer,TNM-kood,AJCC/UICC clinical Tis(DCIS) Category,c-AJCC/UICC-Tis(DCIS),1633770,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cTIS(LAMN),0,None,cancer,TNM-kood,AJCC/UICC clinical Tis(LAMN) Category,c-AJCC/UICC-Tis(LAMN),1634825,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cTIS(PAGET),0,None,cancer,TNM-kood,AJCC/UICC clinical Tis(Paget) Category,c-AJCC/UICC-Tis(Paget),1633522,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
cTX,0,None,cancer,TNM-kood,AJCC/UICC clinical TX Category,c-AJCC/UICC-TX,1634460,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
G1,0,None,cancer,G-kood,Grade 1 tumor,Grade-1,1634371,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
G2,0,None,cancer,G-kood,Grade 2 tumor,Grade-2,1634752,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
G3,0,None,cancer,G-kood,Grade 3 tumor,Grade-3,1633749,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
G4,0,None,cancer,G-kood,Grade 4 tumor,Grade-4,1635792,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
I,0,None,cancer,Vähi staadium,AJCC/UICC Stage 1,AJCC/UICC-Stage-1,1633306,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
IA,0,None,cancer,Vähi staadium,AJCC/UICC Stage 1A,AJCC/UICC-Stage-1A,1635790,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
IA1,0,None,cancer,Vähi staadium,AJCC/UICC Stage 1A1,AJCC/UICC-Stage-1A1,1633565,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
IA2,0,None,cancer,Vähi staadium,AJCC/UICC Stage 1A2,AJCC/UICC-Stage-1A2,1635611,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
IA3,0,None,cancer,Vähi staadium,AJCC/UICC Stage 1A3,AJCC/UICC-Stage-1A3,1634353,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
IB,0,None,cancer,Vähi staadium,AJCC/UICC Stage 1B,AJCC/UICC-Stage-1B,1634494,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
IB1,0,None,cancer,Vähi staadium,AJCC/UICC Stage 1B1,AJCC/UICC-Stage-1B1,1634019,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
IB2,0,None,cancer,Vähi staadium,AJCC/UICC Stage 1B2,AJCC/UICC-Stage-1B2,1635020,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
IC,0,None,cancer,Vähi staadium,AJCC/UICC Stage 1C,AJCC/UICC-Stage-1C,1634868,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
IE,0,None,cancer,Vähi staadium,AJCC/UICC Stage 1E,AJCC/UICC-Stage-1E,1633701,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
II,0,None,cancer,Vähi staadium,AJCC/UICC Stage 2,AJCC/UICC-Stage-2,1634209,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
IIA,0,None,cancer,Vähi staadium,AJCC/UICC Stage 2A,AJCC/UICC-Stage-2A,1634123,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
